areacode,districtcode,city_geocode,city,district_geocode,district,lon,lat,sta_fc,sta_rt,province,fc_lon,fc_lat,rt_lon,rt_lat,origin_areacode,exclude
101010100,110100,110100,北京市,110100,北京,116.405285,39.904989,54511,54511,北京市,116.4667,39.8,116.4667,39.8,101010100,1
101011600,110101,110100,北京市,110101,东城,116.418757,39.917544,54433,54433,北京市,116.5,39.95,116.5,39.95,101011600,0
101011700,110102,110100,北京市,110102,西城,116.366794,39.915309,54399,54399,北京市,116.2833,39.9833,116.2833,39.9833,101011700,0
101010300,110105,110100,北京市,110105,朝阳,116.486409,39.921489,54433,54433,北京市,116.5,39.95,116.5,39.95,101010300,0
101010900,110106,110100,北京市,110106,丰台,116.286968,39.863642,54514,54514,北京市,116.25,39.8667,116.25,39.8667,101010900,0
101011000,110107,110100,北京市,110107,石景山,116.195445,39.914601,54513,54513,北京市,116.2053,39.9425,116.2053,39.9425,101011000,0
101010200,110108,110100,北京市,110108,海淀,116.310316,39.956074,54399,54399,北京市,116.2833,39.9833,116.2833,39.9833,101010200,0
101011400,110109,110100,北京市,110109,门头沟,116.105381,39.937183,54505,54505,北京市,116.15,39.8833,116.15,39.8833,101011400,0
101011200,110111,110100,北京市,110111,房山,116.139157,39.735535,54596,54596,北京市,116.1942,39.7728,116.1942,39.7728,101011200,0
101010600,110112,110100,北京市,110112,通州,116.658603,39.902486,54431,54431,北京市,116.75,39.85,116.75,39.85,101010600,0
101010400,110113,110100,北京市,110113,顺义,116.653525,40.128936,54398,54398,北京市,116.6167,40.1333,116.6167,40.1333,101010400,0
101010700,110114,110100,北京市,110114,昌平,116.235906,40.218085,54499,54499,北京市,116.2167,40.2167,116.2167,40.2167,101010700,0
101011100,110115,110100,北京市,110115,大兴,116.338033,39.728908,54594,54594,北京市,116.3544,39.7186,116.3544,39.7186,101011100,0
101010500,110116,110100,北京市,110116,怀柔,116.637122,40.324272,54419,54419,北京市,116.6333,40.3667,116.6333,40.3667,101010500,0
101011500,110117,110100,北京市,110117,平谷,117.112335,40.144783,54424,54424,北京市,117.1167,40.1667,117.1167,40.1667,101011500,0
101011300,110118,110100,北京市,110118,密云,116.843352,40.377362,54416,54416,北京市,116.8667,40.3833,116.8667,40.3833,101011300,0
101010800,110119,110100,北京市,110119,延庆,115.985006,40.465325,54406,54406,北京市,115.9667,40.45,115.9667,40.45,101010800,0
101030100,120100,120100,天津市,120100,天津,117.190182,39.125596,54517,54517,天津市,117.2061,39.0747,117.2061,39.0747,101030100,1
101030800,120101,120100,天津市,120101,和平区,117.195907,39.118327,54517,54517,天津市,117.2061,39.0747,117.2061,39.0747,101030800,0
101031200,120102,120100,天津市,120102,河东区,117.226568,39.122125,54517,54517,天津市,117.2061,39.0747,117.2061,39.0747,101031200,0
